TRADEDATE,BOARDID,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,WAPRICE,CLOSE,VOLUME,TRENDCLSPR
2024-04-01,TQBR,ROSN,92818,4675167978.4,568.0,566.8,573.55,570.6,568.85,8194319,0.55
2024-04-02,TQBR,ROSN,51281,2758385527.6,570.0,567.5,574.5,570.45,572.9,4834554,0.71
2024-04-03,TQBR,ROSN,59127,2783523091.55,573.1,572.0,579.0,576.3,576.9,4829568,0.7
2024-04-04,TQBR,ROSN,49575,2269373130.15,577.75,575.65,580.0,578.3,578.05,3924251,0.2
2024-04-05,TQBR,ROSN,47074,1904563196.05,578.85,574.0,579.65,577.15,576.1,3300134,-0.34
2024-04-08,TQBR,ROSN,56726,1899524002.8,576.3,571.55,579.75,575.7,574.5,3298221,-0.28
2024-04-09,TQBR,ROSN,65249,2662585757.55,574.5,565.75,576.2,570.9,568.4,4663495,-1.06
2024-04-10,TQBR,ROSN,41832,1420310687.9,568.5,565.6,574.5,571.05,573.2,2487296,0.84
2024-04-11,TQBR,ROSN,55332,2174077340.4,573.2,573.2,579.0,576.3,575.25,3772702,0.36
2024-04-12,TQBR,ROSN,42834,1820663426.0,576.0,575.9,579.5,577.65,576.15,3152068,0.16
2024-04-15,TQBR,ROSN,89512,4140575238.8,578.95,578.1,589.85,584.9,589.75,7079255,2.36
2024-04-16,TQBR,ROSN,57087,3118455565.7,590.0,585.7,592.5,589.35,589.1,5290388,-0.11
2024-04-17,TQBR,ROSN,54186,2235955826.3,589.15,581.3,590.75,586.15,584.35,3814643,-0.81
2024-04-18,TQBR,ROSN,45807,2209047199.15,583.85,576.55,585.85,579.95,579.15,3808318,-0.89
2024-04-19,TQBR,ROSN,52632,2048684812.9,582.0,578.05,588.4,584.05,585.35,3507875,1.07
2024-04-22,TQBR,ROSN,65095,1862958758.0,586.7,581.0,589.4,583.75,583.15,3191089,-0.38
2024-04-23,TQBR,ROSN,53859,2162791865.5,583.85,580.25,589.0,584.8,580.85,3699539,-0.39
2024-04-24,TQBR,ROSN,68373,1713465735.1,582.35,572.0,583.4,577.4,576.3,2968087,-0.78
2024-04-25,TQBR,ROSN,39210,1313338242.25,577.0,573.0,581.25,578.75,579.8,2269626,0.61
2024-04-26,TQBR,ROSN,42750,1276997728.35,579.95,578.6,584.9,581.85,581.3,2194810,0.26
2024-04-27,TQBR,ROSN,26483,805558489.1,581.0,581.0,584.5,582.8,581.2,1382302,-0.02
2024-04-29,TQBR,ROSN,20550,514187036.9,581.8,581.35,583.95,582.35,583.15,882950,0.34
2024-04-30,TQBR,ROSN,15348,368455947.55,583.15,581.3,583.65,582.35,582.0,632716,-0.2
2024-05-02,TQBR,ROSN,37709,1263532397.2,581.4,578.0,587.0,582.2,582.3,2169820,0.05
2024-05-03,TQBR,ROSN,48253,1345463872.55,582.75,582.0,586.4,584.3,582.3,2302837,0.0
2024-05-06,TQBR,ROSN,45455,1421996245.8,582.0,578.65,586.15,582.1,579.05,2443510,-0.56
2024-05-07,TQBR,ROSN,37216,981096267.05,579.15,579.15,584.35,581.05,579.95,1688537,0.16
2024-05-08,TQBR,ROSN,29277,749419945.9,580.3,578.2,582.0,579.95,578.5,1292162,-0.25
2024-05-10,TQBR,ROSN,43308,672676095.45,579.0,578.55,582.5,580.3,579.4,1159220,0.16
2024-05-13,TQBR,ROSN,77020,2790731622.6,580.25,579.0,590.0,586.15,589.45,4761120,1.73
2024-04-01,TQBR,SBER,80263,8612449823.1,300.0,299.5,301.65,300.42,300.43,28662870,0.57
2024-04-02,TQBR,SBER,64413,5995530685.0,300.43,298.95,300.99,300.07,300.38,19980460,-0.02
2024-04-03,TQBR,SBER,125661,17732924741.7,300.4,300.17,307.13,304.56,306.72,58228980,2.11
2024-04-04,TQBR,SBER,73338,8884912105.9,306.8,304.36,307.77,305.6,304.61,29074900,-0.69
2024-04-05,TQBR,SBER,38305,5915523146.6,304.62,303.7,306.5,305.62,306.1,19355990,0.49
2024-04-08,TQBR,SBER,69309,7656859212.5,306.5,306.22,308.6,307.52,307.75,24899610,0.54
2024-04-09,TQBR,SBER,78703,9857166056.7,308.1,305.51,309.35,307.63,306.76,32044440,-0.32
2024-04-10,TQBR,SBER,50352,6331291824.7,306.76,304.62,307.14,306.1,306.48,20682180,-0.09
2024-04-11,TQBR,SBER,51351,6298575558.1,306.7,305.7,308.0,306.83,306.95,20527000,0.15
2024-04-12,TQBR,SBER,54625,4920099637.9,307.4,306.3,307.87,307.08,307.1,16025300,0.05
2024-04-15,TQBR,SBER,49642,6381167168.7,307.47,306.64,308.39,307.56,307.99,20746510,0.29
2024-04-16,TQBR,SBER,52753,5273954891.3,308.0,307.0,308.65,307.77,308.29,17135850,0.1
2024-04-17,TQBR,SBER,59080,8679485717.7,308.65,305.91,309.74,307.47,306.59,28227330,-0.55
2024-04-18,TQBR,SBER,37902,6264315854.3,306.01,305.05,308.29,307.27,307.99,20387560,0.46
2024-04-19,TQBR,SBER,38080,4482220740.8,308.0,306.8,308.38,307.43,307.38,14578320,-0.2
2024-04-22,TQBR,SBER,138656,21503352871.0,308.0,307.38,315.0,311.56,314.99,69006740,2.48
2024-04-23,TQBR,SBER,214274,28881328913.5,315.39,306.26,315.79,311.03,307.39,92863630,-2.41
2024-04-24,TQBR,SBER,70305,8189808740.4,307.5,306.65,309.79,308.38,307.94,26557490,0.18
2024-04-25,TQBR,SBER,45014,4916605561.8,307.95,307.45,309.07,308.32,308.41,15946760,0.15
2024-04-26,TQBR,SBER,58444,6538760959.0,308.5,308.0,309.9,309.21,309.0,21146360,0.19
2024-04-27,TQBR,SBER,40803,4055173632.8,309.25,308.7,309.99,309.29,308.98,13111060,-0.01
2024-04-29,TQBR,SBER,32822,3092125081.6,309.14,307.65,309.6,308.43,308.97,10025690,0.0
2024-04-30,TQBR,SBER,21373,1844647205.8,309.19,308.03,309.49,308.43,308.24,5980690,-0.24
2024-05-02,TQBR,SBER,54004,5006399567.2,308.7,306.8,309.19,307.86,307.37,16262520,-0.28
2024-05-03,TQBR,SBER,95641,9339424027.0,307.11,304.34,308.29,306.54,307.53,30466990,0.05
2024-05-06,TQBR,SBER,47914,5890819811.7,308.1,305.55,308.1,306.76,306.01,19203550,-0.49
2024-05-07,TQBR,SBER,43471,5112444401.6,306.23,306.21,308.87,307.67,308.22,16616810,0.72
2024-05-08,TQBR,SBER,93120,10529373347.6,308.41,308.08,311.83,310.76,311.21,33881400,0.97
2024-05-10,TQBR,SBER,40164,5230529723.5,311.5,311.31,313.5,312.91,313.49,16715650,0.73
2024-05-13,TQBR,SBER,65120,6839146524.5,314.1,314.04,315.7,314.9,314.85,21712460,0.43
2024-04-01,TQBR,LKOH,39852,5655560883.5,7574.0,7573.0,7666.0,7628.5,7665.0,741367,1.51
2024-04-02,TQBR,LKOH,24941,2935739088.0,7679.5,7625.0,7689.0,7652.5,7654.0,383628,-0.14
2024-04-03,TQBR,LKOH,21721,2429698021.5,7654.0,7641.0,7699.0,7672.5,7686.5,316677,0.42
2024-04-04,TQBR,LKOH,39684,5719872333.5,7687.5,7678.0,7783.5,7747.5,7727.5,738307,0.53
2024-04-05,TQBR,LKOH,48842,8146536254.5,7730.5,7654.0,7777.5,7703.0,7662.5,1058107,-0.84
2024-04-08,TQBR,LKOH,33631,5145050974.0,7700.0,7662.5,7777.0,7730.0,7767.0,665595,1.36
2024-04-09,TQBR,LKOH,51351,6678737910.0,7770.0,7740.0,7844.0,7805.5,7786.5,855572,0.25
2024-04-10,TQBR,LKOH,23697,3030625357.0,7802.5,7755.0,7837.0,7810.0,7825.0,388050,0.49
2024-04-11,TQBR,LKOH,38788,3245978515.5,7835.0,7827.0,7870.0,7848.0,7836.5,413546,0.15
2024-04-12,TQBR,LKOH,26145,3735924097.0,7840.0,7785.0,7865.0,7821.5,7839.5,477639,0.04
2024-04-15,TQBR,LKOH,34945,4298701437.5,7853.0,7849.5,7931.0,7894.5,7920.5,544524,1.03
2024-04-16,TQBR,LKOH,22864,3277092998.5,7929.5,7870.0,7929.5,7897.5,7897.0,414942,-0.3
2024-04-17,TQBR,LKOH,25627,3491166459.0,7897.0,7855.5,7918.0,7889.0,7886.0,442533,-0.14
2024-04-18,TQBR,LKOH,30186,4232011660.0,7888.0,7800.0,7897.5,7843.5,7840.0,539551,-0.58
2024-04-19,TQBR,LKOH,27827,4962729209.0,7860.0,7790.0,7868.5,7823.5,7835.5,634310,-0.06
2024-04-22,TQBR,LKOH,38118,5243909745.5,7836.0,7803.0,7878.0,7834.5,7827.5,669392,-0.1
2024-04-23,TQBR,LKOH,30830,4029556333.5,7849.5,7806.0,7886.5,7845.5,7840.0,513602,0.16
2024-04-24,TQBR,LKOH,26376,2737409933.0,7846.5,7803.5,7854.0,7827.5,7820.5,349688,-0.25
2024-04-25,TQBR,LKOH,21466,2395854945.0,7820.5,7809.5,7831.5,7817.5,7827.5,306477,0.09
2024-04-26,TQBR,LKOH,44966,6116032952.5,7828.0,7810.0,7940.0,7872.0,7929.5,776863,1.3
2024-04-27,TQBR,LKOH,34514,5229831036.0,7931.0,7931.0,8018.5,7982.5,8002.5,655090,0.92
2024-04-29,TQBR,LKOH,41811,4875540178.0,8018.0,8016.0,8161.5,8109.5,8152.0,601155,1.87
2024-04-30,TQBR,LKOH,31284,3532834568.5,8152.5,8080.0,8175.0,8112.5,8085.5,435472,-0.82
2024-05-02,TQBR,LKOH,42979,4568439192.0,8096.5,8037.0,8125.0,8076.5,8104.5,565657,0.23
2024-05-03,TQBR,LKOH,44704,4603847800.0,8098.5,8010.0,8100.0,8066.5,8075.5,570748,-0.36
2024-05-06,TQBR,LKOH,129034,20536829449.5,8075.0,7901.0,8089.0,7975.0,8026.5,2575025,-0.61
2024-05-07,TQBR,LKOH,163695,18768522763.0,7594.0,7574.0,7763.5,7708.0,7722.5,2435049,-3.79
2024-05-08,TQBR,LKOH,48734,5280587119.0,7754.5,7691.0,7772.0,7712.5,7714.0,684609,-0.11
2024-05-10,TQBR,LKOH,17434,1685692287.0,7720.0,7710.0,7726.0,7720.5,7713.5,218336,-0.01
2024-05-13,TQBR,LKOH,37874,3889987061.0,7730.0,7676.0,7732.0,7701.5,7689.0,505076,-0.32
